Age,Annual_Income,Monthly_Spend,Loyalty_Score,Days_Since_Last_Purchase,Purchase_Frequency,Gender,Preferred_Category,KMeans_Cluster,Agg_Cluster,Cluster_Label
30.483570765056164,36001.79602118326,121.13049786650987,1,127,1,M,Fashion,2,2,Premium Shoppers
27.308678494144075,31564.755670997976,157.07283488557593,1,153,1,M,Sports,2,3,Premium Shoppers
31.23844269050346,35978.38002425827,128.13279661650938,1,109,3,F,Electronics,2,2,Premium Shoppers
35.61514928204013,39346.3842322911,139.13379558695786,1,140,1,M,Beauty,2,3,Premium Shoppers
26.829233126383322,35390.880562605635,216.93808361194147,1,172,3,M,Home,2,3,Premium Shoppers
26.8293152152541,35324.733529631056,203.6184420716139,2,56,1,M,Electronics,3,2,High-Value VIPs
31.837173645764544,29696.792659592415,183.189296715167,2,115,2,M,Home,2,2,Premium Shoppers
25.65262807032524,23779.15782560245,182.45586217966368,2,143,1,F,Fashion,2,3,Premium Shoppers
30.712800217929825,48996.61394549551,104.06946844989527,1,153,2,F,Beauty,2,3,Premium Shoppers
25.682911535937688,25049.094116869717,182.75110575019443,2,78,3,M,Fashion,3,2,High-Value VIPs
25.671351232148716,29456.758417632744,211.5172767365021,1,105,1,M,Home,2,2,Premium Shoppers
29.20981135783017,29252.74187544642,105.09820775022345,2,84,3,M,Electronics,3,2,High-Value VIPs
18.43359877671101,42159.39501555553,113.29988715942946,2,85,1,F,Beauty,3,2,High-Value VIPs
19.375410837434835,32640.402573663778,190.7064586737401,2,124,2,M,Fashion,2,3,Premium Shoppers
25.188562353795135,44981.93658138987,160.85981243302592,1,73,3,M,Home,3,2,High-Value VIPs
22.93584439832788,29612.075006049054,172.05905100958094,2,116,2,F,Electronics,2,3,Premium Shoppers
29.571236662976368,37231.95329779042,163.62356865601987,1,113,2,F,Home,2,2,Premium Shoppers
23.459879622393945,28317.22357392194,165.62783683712576,2,45,1,M,Beauty,3,2,High-Value VIPs
20.938481493323543,52161.19302218711,96.94111486755668,2,178,3,M,Fashion,2,3,Premium Shoppers
35.32824384460777,25499.212647763896,191.89270826485793,2,174,2,F,Home,2,3,Premium Shoppers
26.871118497567323,37478.56568181622,196.78359969711096,2,66,1,F,Fashion,3,2,High-Value VIPs
28.33764102343962,40070.21504745679,140.82437023727888,1,106,1,F,Sports,2,2,Premium Shoppers
20.87625906893272,38310.39277961198,148.26092200744552,1,176,1,F,Fashion,2,3,Premium Shoppers
25.278086377374088,33517.698728978336,88.75569989777111,2,74,2,F,Beauty,3,2,High-Value VIPs
28.55461294854933,33961.43440213259,170.5701902407134,2,175,1,Other,Beauty,2,3,Premium Shoppers
22.245032112888488,35350.491775832874,172.88229766856577,1,91,3,Other,Fashion,3,2,High-Value VIPs
29.87849009172836,33823.98398697209,147.51235932002757,1,129,3,M,Electronics,2,2,Premium Shoppers
24.996806550405974,42711.032934359275,194.9741343948201,1,81,2,F,Fashion,3,2,High-Value VIPs
26.541531251033618,52684.18401273081,136.63691076080238,1,48,3,M,Beauty,3,2,High-Value VIPs
24.991466938853016,30540.06571993733,172.58423703574402,2,138,1,M,Electronics,2,3,Premium Shoppers
37.26139092254469,24041.576163367376,109.21342645231537,2,73,2,F,Home,3,2,High-Value VIPs
27.93251387631033,34293.74361318996,149.05791396503048,1,36,1,M,Beauty,3,2,High-Value VIPs
22.711445355220498,55637.674701234544,143.02582968388657,1,146,2,F,Fashion,2,3,Premium Shoppers
32.11272456051594,28570.603456242156,159.01231688163767,1,97,2,M,Home,3,2,High-Value VIPs
21.895781750144888,48112.93444355254,135.21892284666566,1,63,1,F,Electronics,3,2,High-Value VIPs
29.044317975023777,48421.60651261153,144.7410961731333,1,98,3,F,Electronics,3,2,High-Value VIPs
18.201649380601122,30571.294066336042,183.04188685766024,1,84,3,F,Beauty,3,2,High-Value VIPs
21.359069755507846,39551.864633482204,132.5294305104713,2,39,2,M,Electronics,3,2,High-Value VIPs
28.984306179345616,48027.1729850283,85.73691597045283,2,71,1,M,Fashion,3,2,High-Value VIPs
31.692332899977053,31966.978072100104,219.98335616821683,2,70,1,F,Sports,3,2,High-Value VIPs
28.85684140594985,33371.357119181106,205.25816314761946,1,151,2,M,Fashion,2,3,Premium Shoppers
27.421758588058797,30346.55268841085,98.30949219577525,1,167,3,Other,Sports,2,3,Premium Shoppers
26.494481522053555,26881.946154457066,177.58831220980778,1,39,1,F,Sports,3,2,High-Value VIPs
20.607390048162863,29805.779639471944,129.88100917794628,2,131,3,M,Fashion,2,3,Premium Shoppers
24.400778958026457,25208.47786590195,160.53948861324238,1,157,3,M,Electronics,2,3,Premium Shoppers
25.696806145201062,35272.66774607381,161.76896516053975,1,178,2,M,Beauty,2,3,Premium Shoppers
33.285611131094576,28840.214151530865,140.62368798734713,2,165,2,F,Fashion,2,3,Premium Shoppers
29.71809144784231,36870.28729432598,118.64937337654413,1,121,3,M,Electronics,2,2,Premium Shoppers
19.18479922318633,22552.83483037098,122.37835790734962,2,142,1,M,Beauty,2,3,Premium Shoppers
29.620419846973974,37647.04185771566,113.3523233807503,2,107,1,M,Electronics,3,2,High-Value VIPs
26.074588597918417,41668.2316928714,116.72711167078221,1,114,2,F,Sports,2,2,Premium Shoppers
24.615389998470206,19050.11485942836,147.31286839802578,2,59,3,M,Electronics,3,2,High-Value VIPs
31.05838144420434,37992.45255878058,121.36960043556994,1,78,1,M,Electronics,3,2,High-Value VIPs
33.154997612479754,44821.35193978634,177.28208262850478,2,38,1,F,Electronics,3,2,High-Value VIPs
32.65640059558099,25322.871850470357,209.4898462134371,1,174,2,F,Sports,2,3,Premium Shoppers
23.803912383886807,48380.57909470163,126.79787034519828,2,98,3,F,Home,3,2,High-Value VIPs
26.453938120743928,38352.15207492836,159.57618002141507,1,87,1,M,Beauty,3,2,High-Value VIPs
29.65631715701782,29359.90515393273,169.98740441211734,2,91,2,M,Fashion,3,2,High-Value VIPs
32.877725635611796,34553.847378738355,168.880090836771,2,81,1,F,Fashion,3,2,High-Value VIPs
25.60412881077355,39466.61530017378,153.0382107166435,2,69,1,M,Electronics,3,2,High-Value VIPs
27.071705116680914,35608.043131299295,179.7072967343889,1,92,1,F,Fashion,3,2,High-Value VIPs
22.46832512996986,39310.047939570955,169.28995810722628,1,176,2,F,Home,2,3,Premium Shoppers
22.018966879596647,27634.61125536507,100.4935031069081,2,79,3,M,Home,3,2,High-Value VIPs
32.06262911197099,36354.886592288625,184.7662425755709,1,170,2,F,Fashion,2,3,Premium Shoppers
34.78120014285412,23690.284024760156,185.4916334906697,2,107,3,Other,Sports,3,2,High-Value VIPs
27.63994939209833,34110.191509210395,119.46855583285674,1,126,1,M,Electronics,2,2,Premium Shoppers
33.01766448946012,27768.73886828168,151.51751341790407,2,72,3,F,Sports,3,2,High-Value VIPs
29.80818012523817,29115.760459281868,177.33315971244278,1,65,1,M,Electronics,3,2,High-Value VIPs
29.80697802754207,43730.480964754155,192.91912191064046,2,137,2,M,Fashion,2,3,Premium Shoppers
35.690182832329846,39873.104967257415,244.55489978477442,2,39,1,F,Fashion,3,2,High-Value VIPs
27.820869804450243,26261.49788261937,118.5605586946007,2,124,2,Other,Home,2,3,Premium Shoppers
35.82321827907003,32468.732402441587,94.758215873849,1,35,3,F,Fashion,3,2,High-Value VIPs
32.10951252187612,36133.735309119234,178.86250020504573,1,158,1,F,Beauty,2,3,Premium Shoppers
28.435235341190857,53554.636319853555,140.76534504620923,1,100,2,M,Home,3,2,High-Value VIPs
26.504963247670663,38146.542715154974,208.13042653284137,2,50,1,F,Beauty,3,2,High-Value VIPs
28.45880388267751,36536.39293192025,96.45576801107005,1,121,2,M,Electronics,2,2,Premium Shoppers
18.062155426995538,32527.06828637999,177.71674492126445,1,156,2,M,Home,2,3,Premium Shoppers
26.90164056081244,36068.32723825826,125.76556716964427,1,109,2,M,Home,2,2,Premium Shoppers
29.78556285755873,33780.24130895565,218.77511624829185,2,85,3,F,Fashion,3,2,High-Value VIPs
35.38947022370758,40664.86941350872,229.70061412672473,1,145,2,M,Fashion,2,3,Premium Shoppers
25.40864890863176,42653.618534356676,119.33373648866609,1,177,3,F,Fashion,2,3,Premium Shoppers
23.95753198553406,28712.084315936405,128.0177145636568,2,54,2,M,Electronics,3,2,High-Value VIPs
25.491214782077318,24350.136371537774,184.38351547919208,2,34,3,M,Electronics,3,2,High-Value VIPs
32.57701058851037,20310.357015173628,134.5147740084194,1,149,3,M,Electronics,2,3,Premium Shoppers
29.643755548298422,39063.93061530035,148.18355128271048,2,50,3,Other,Home,3,2,High-Value VIPs
25.351198981164806,26173.06715060901,151.0155368216964,1,47,1,F,Home,3,2,High-Value VIPs
30.56633716556678,17776.875256380135,73.21307375209375,1,86,2,M,Sports,3,2,High-Value VIPs
28.4853877467402,38108.62883624771,149.4464901562305,1,122,1,M,Beauty,2,2,Premium Shoppers
32.84322495266444,54943.996139462324,122.41088903743304,2,48,2,M,Electronics,3,2,High-Value VIPs
24.489734530613237,34951.432707680855,130.27508710400912,1,157,2,F,Sports,2,3,Premium Shoppers
26.361689267011158,41707.92619561314,207.74528013875255,2,126,1,M,Sports,2,3,Premium Shoppers
26.039459234339212,35654.63486838052,99.73972422882974,2,160,3,F,Fashion,2,3,Premium Shoppers
20.682425259339407,34208.88277447086,182.5282074699191,1,50,2,F,Home,3,2,High-Value VIPs
29.48060138532288,42352.61186390215,138.84148278672765,2,69,3,M,Sports,3,2,High-Value VIPs
29.305276360899448,32677.80364649079,138.80959326016662,2,96,1,F,Home,3,2,High-Value VIPs
26.827064333124266,37573.58244956811,163.6020517827556,2,84,2,F,Electronics,3,2,High-Value VIPs
20.92314628974793,29655.27637085561,172.82451988878125,2,138,2,M,Electronics,2,3,Premium Shoppers
25.896773386173205,42936.338796292184,188.72738642131443,1,127,2,M,Fashion,2,3,Premium Shoppers
26.286427417366152,33600.32194643673,136.7476646726671,2,141,1,M,Home,2,3,Premium Shoppers
23.988613653891903,28954.03872405724,125.51053061968999,1,144,2,M,Beauty,2,3,Premium Shoppers
27.193571441669953,39292.07874856323,106.59397893768808,1,146,1,M,Sports,2,3,Premium Shoppers
30.020254284072692,27812.2561456717,116.9835788008418,1,116,3,M,Fashion,2,2,Premium Shoppers
37.43092950605265,35225.44925895303,267.963777012349,1,110,2,F,Electronics,2,2,Premium Shoppers
28.872889064159196,34927.04802684637,199.78718322947145,1,95,2,M,Beauty,3,2,High-Value VIPs
29.28775195361382,43687.164526652625,95.95702535167915,1,48,2,M,Home,3,2,High-Value VIPs
27.627770421169163,38797.585863039625,97.1016817302572,2,164,3,M,Electronics,2,3,Premium Shoppers
18.406143923504793,34799.78433003885,169.27464246873967,2,147,2,F,Fashion,2,3,Premium Shoppers
27.867430622753915,41542.130393602296,171.8905918951187,2,71,1,F,Beauty,3,2,High-Value VIPs
28.301151049705133,46121.66039213851,171.9553534126946,1,71,3,F,Beauty,3,2,High-Value VIPs
40.316210562426434,39462.482450814896,139.80176825785207,2,88,3,M,Fashion,3,2,High-Value VIPs
27.038195176094387,35082.82095874705,144.98182959988398,2,49,3,Other,Fashion,3,2,High-Value VIPs
29.507736711668063,24505.310141198723,163.11518096637428,2,102,3,M,Sports,3,2,High-Value VIPs
27.826441151473784,26479.09069539702,153.43572025173322,1,46,3,M,Home,3,2,High-Value VIPs
22.15660981190234,32558.20236516266,61.2279850900986,2,56,1,M,Fashion,3,2,High-Value VIPs
33.7141140725751,30123.902382725733,140.80801477699225,1,31,3,M,Fashion,3,2,High-Value VIPs
31.759665163433873,33504.229576116435,115.94374262958746,2,92,2,M,Beauty,3,2,High-Value VIPs
31.955159735215233,35453.199399176854,157.00845675634048,1,91,3,F,Electronics,3,2,High-Value VIPs
23.453062726026303,39237.54203485385,269.41036010413643,1,129,3,F,Electronics,2,3,Premium Shoppers
